# 14 out of 14 mutations
3280 #trees
13 #edges, tree 1
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v3
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 2
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v3
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 3
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 4
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 5
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v3
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 6
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 7
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v4
v1 v3
v1 v2
13 #edges, tree 8
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v4
v1 v3
v1 v2
13 #edges, tree 9
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v3
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 10
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 11
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v4
v1 v2
13 #edges, tree 12
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 13
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v4
v1 v3
v1 v2
13 #edges, tree 14
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 15
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v3
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 16
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 17
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v3
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 18
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v4
v1 v3
v1 v2
13 #edges, tree 19
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 20
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 21
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v6 v3
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 22
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v1 v12
v1 v6
v1 v4
v1 v3
v1 v2
13 #edges, tree 23
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v7 v3
v6 v11
v6 v9
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 24
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v9 v7
v6 v11
v6 v9
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 25
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v1 v12
v1 v6
v1 v4
v1 v2
13 #edges, tree 26
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v4
v7 v3
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 27
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v4
v7 v3
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 28
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v3
v6 v13
v6 v11
v6 v4
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 29
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v3
v6 v11
v6 v9
v6 v4
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 30
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v9 v4
v7 v3
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 31
v13 v9
v13 v4
v11 v10
v10 v14
v10 v8
v9 v5
v7 v3
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 32
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v7 v3
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 33
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v4
v7 v3
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 34
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v4
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 35
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 36
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v4
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 37
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v4
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 38
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v4
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 39
v13 v9
v13 v4
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 40
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v9 v4
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 41
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v4
v1 v12
v1 v7
v1 v6
v1 v3
v1 v2
13 #edges, tree 42
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v7 v4
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 43
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v7 v4
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 44
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v4
v6 v13
v6 v11
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 45
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v4
v6 v11
v6 v9
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 46
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v7 v4
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 47
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v7 v4
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 48
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v7 v4
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 49
v13 v9
v13 v4
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 50
v13 v9
v13 v4
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 51
v13 v9
v13 v4
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 52
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v4
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 53
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v9 v4
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 54
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v6 v13
v6 v11
v6 v4
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 55
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v4
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 56
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v9 v4
v6 v13
v6 v11
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 57
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v9 v4
v6 v13
v6 v11
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 58
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v4
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 59
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v4
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 60
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v6 v11
v6 v9
v6 v4
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 61
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v6 v11
v6 v9
v6 v4
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 62
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v4
v6 v11
v6 v9
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 63
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v3
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 64
v13 v5
v13 v4
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 65
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v9 v4
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 66
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v9 v4
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 67
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 68
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 69
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v4
v9 v3
v6 v11
v6 v9
v1 v12
v1 v7
v1 v6
v1 v2
13 #edges, tree 70
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v7
v6 v4
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 71
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v7
v6 v4
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 72
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v6 v4
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 73
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 74
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v4
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 75
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v4
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 76
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v9 v4
v6 v11
v6 v9
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 77
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 78
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v7 v4
v6 v11
v6 v9
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 79
v13 v9
v13 v4
v11 v10
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 80
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v9 v4
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 81
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v4
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v3
v1 v2
13 #edges, tree 82
v13 v9
v13 v4
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 83
v13 v9
v13 v4
v11 v10
v10 v14
v10 v8
v9 v5
v7 v3
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 84
v13 v9
v13 v4
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 85
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v4
v7 v3
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 86
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v7 v4
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 87
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v7 v4
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 88
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v6 v13
v6 v11
v6 v7
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 89
v13 v9
v11 v10
v11 v3
v10 v14
v10 v8
v9 v5
v9 v4
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 90
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v9 v4
v7 v3
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 91
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v9 v4
v6 v13
v6 v11
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 92
v13 v9
v11 v10
v10 v14
v10 v8
v9 v5
v7 v3
v6 v13
v6 v11
v6 v7
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 93
v13 v9
v11 v10
v10 v14
v10 v8
v10 v3
v9 v5
v6 v13
v6 v11
v6 v7
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 94
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v6 v4
v6 v3
v1 v12
v1 v6
v1 v2
13 #edges, tree 95
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v7 v3
v6 v11
v6 v9
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 96
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 97
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v9 v7
v6 v11
v6 v9
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 98
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v6 v11
v6 v9
v6 v7
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 99
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v7
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 100
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v7 v3
v6 v11
v6 v9
v6 v7
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 101
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v6 v11
v6 v9
v6 v7
v6 v4
v1 v12
v1 v6
v1 v2
13 #edges, tree 102
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v9 v4
v6 v11
v6 v9
v6 v3
v1 v12
v1 v6
v1 v2
13 #edges, tree 103
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v7 v4
v6 v11
v6 v9
v6 v3
v1 v12
v1 v6
v1 v2
13 #edges, tree 104
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v6 v3
v1 v12
v1 v6
v1 v2
13 #edges, tree 105
v13 v5
v13 v4
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v9 v7
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 106
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v9 v7
v9 v4
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 107
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v9 v7
v7 v4
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 108
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v9 v4
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 109
v13 v5
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v7 v4
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 110
v13 v5
v13 v4
v11 v10
v11 v3
v10 v14
v10 v8
v9 v13
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 111
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v9 v7
v9 v4
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 112
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v9 v7
v7 v4
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 113
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v9 v7
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 114
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v7 v3
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 115
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v7 v4
v7 v3
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 116
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v7
v9 v4
v7 v3
v6 v11
v6 v9
v1 v12
v1 v6
v1 v2
13 #edges, tree 117
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v4
v9 v3
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 118
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 119
v13 v5
v11 v10
v10 v14
v10 v8
v9 v13
v9 v3
v7 v4
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 120
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v7 v4
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 121
v13 v5
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v9 v4
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 122
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v10 v3
v9 v13
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 123
v13 v5
v13 v4
v11 v10
v10 v14
v10 v8
v9 v13
v7 v3
v6 v11
v6 v9
v6 v7
v1 v12
v1 v6
v1 v2
13 #edges, tree 124
v13 v5
v11 v10
v10 v14
